emp_no,first_name,last_name,title,from_date,to_date,birth_date
234739,Foong,Aamodt,Senior Engineer,1986-06-28,9999-01-01,1965-01-31
100916,Heejo,Aamodt,Senior Engineer,2001-04-22,9999-01-01,1965-01-18
219052,Marsal,Acton,Staff,1995-08-02,9999-01-01,1965-01-06
497007,Oldrich,Adachi,Senior Engineer,2002-04-03,9999-01-01,1965-01-23
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,9999-01-01,1965-01-09
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01,1965-01-05
207021,Jacqueline,Akaboshi,Engineer,1997-12-06,9999-01-01,1965-01-20
65998,Mandell,Alameldin,Senior Staff,1996-04-08,9999-01-01,1965-01-09
230287,Renny,Alameldin,Assistant Engineer,1997-09-28,9999-01-01,1965-01-14
103196,Djenana,Albarhamtoshy,Senior Staff,1993-07-16,9999-01-01,1965-01-16
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,9999-01-01,1965-01-29
452982,Lobel,Aloia,Senior Staff,1994-12-29,9999-01-01,1965-01-29
428082,Ronghao,Alpin,Senior Staff,2000-09-10,9999-01-01,1965-01-09
231798,Goetz,Alvarado,Senior Engineer,1997-12-25,9999-01-01,1965-01-28
106710,Babette,Anandan,Senior Staff,1993-11-22,9999-01-01,1965-01-31
232178,Etsuo,Anandan,Senior Staff,1996-12-13,9999-01-01,1965-01-29
428219,Ghassan,Androutsos,Senior Staff,1993-12-25,9999-01-01,1965-01-21
214866,Gopalakrishnan,Angel,Senior Engineer,2002-07-05,9999-01-01,1965-02-01
455914,Peer,Angelopoulos,Senior Engineer,1996-07-23,9999-01-01,1965-01-01
238422,Vishv,Angelov,Senior Staff,1996-03-08,9999-01-01,1965-01-10
235729,Henk,Anger,Senior Staff,2002-01-19,9999-01-01,1965-02-01
216054,Sahrah,Angiulli,Senior Staff,1991-07-31,9999-01-01,1965-01-24
241254,Jagoda,Anguita,Senior Engineer,1993-05-11,9999-01-01,1965-01-15
414543,Bernd,Anick,Senior Engineer,1988-11-19,9999-01-01,1965-01-03
247875,Xiong,Anick,Senior Staff,1991-04-23,9999-01-01,1965-01-02
86672,JoAnne,Anido,Staff,1995-09-15,9999-01-01,1965-01-15
99590,Dhritiman,Anily,Staff,1998-12-16,9999-01-01,1965-01-24
266206,Zsolt,Anily,Senior Staff,1991-08-19,9999-01-01,1965-02-01
207068,Zhiguo,Ariola,Senior Staff,1994-09-07,9999-01-01,1965-01-13
